422,0
374,0
433,0
463,0
354,0
460,0
379,0
419,0
59,0
396,1
450,1
417,1
408,1
383,1
365,1
452,1
406,1
459,1
36,2
171,2
129,2
27,2
192,2
151,2
1,2
43,2
142,2
141,2
170,2
161,2
67,2
64,2
173,2
41,2
33,2
51,2
211,2
240,2
157,2
6,2
20,2
215,2
461,2
70,2
218,2
50,2
138,2
172,2
177,2
8,2
473,2
209,2
71,2
10,2
52,2
222,2
247,2
210,2
73,2
164,2
155,2
202,2
191,2
491,2
500,3
336,3
351,3
257,3
411,3
323,3
135,3
305,3
456,0
409,0
348,0
442,0
458,0
401,0
451,0
367,0
462,0
360,1
432,1
373,1
413,1
404,1
420,1
455,1
178,1
426,1
361,2
496,2
203,2
162,2
29,2
166,2
187,2
96,2
206,2
250,2
127,2
208,2
54,2
489,2
457,2
498,2
42,2
145,2
486,2
55,2
448,2
490,2
68,2
220,2
391,2
242,2
105,2
205,2
122,2
181,2
150,2
174,2
241,2
61,2
26,2
236,2
31,2
28,2
427,2
484,2
198,2
47,2
435,2
346,2
403,2
194,2
195,3
499,3
436,3
488,3
366,3
62,3
133,3
204,3
356,0
325,0
416,0
400,0
438,0
429,0
353,0
410,0
431,0
355,1
387,1
402,1
359,1
418,1
412,1
19,1
395,1
386,1
39,2
158,2
75,2
69,2
146,2
188,2
226,2
183,2
478,2
243,2
472,2
82,2
165,2
56,2
185,2
72,2
45,2
5,2
139,2
94,2
153,2
15,2
469,2
230,2
248,2
125,2
21,2
214,2
38,2
494,2
136,2
30,2
16,2
245,2
485,2
58,2
60,2
212,2
362,2
126,2
148,2
193,2
131,2
159,2
11,2
453,2
439,3
414,3
492,3
464,3
327,3
389,3
493,3
152,3
380,0
375,0
324,0
393,0
425,0
358,0
467,0
449,0
421,0
357,1
445,1
443,1
392,1
385,1
381,1
384,1
350,1
466,1
407,1
228,2
189,2
137,2
121,2
468,2
13,2
154,2
223,2
144,2
23,2
22,2
447,2
201,2
199,2
197,2
481,2
83,2
149,2
233,2
14,2
200,2
53,2
190,2
441,2
168,2
390,2
249,2
65,2
40,2
25,2
24,2
9,2
186,2
184,2
46,2
476,2
234,2
3,2
12,2
475,2
219,2
49,2
32,2
232,2
352,2
231,2
465,3
495,3
140,3
167,3
394,3
176,3
382,3
430,0
423,0
399,0
369,0
454,0
372,0
363,0
371,0
415,1
364,1
378,1
397,1
428,1
370,1
368,1
424,1
434,1
349,1
213,2
156,2
18,2
2,2
446,2
35,2
474,2
169,2
207,2
182,2
235,2
143,2
477,2
66,2
74,2
470,2
216,2
224,2
123,2
217,2
4,2
487,2
405,2
437,2
147,2
244,2
124,2
480,2
479,2
48,2
44,2
377,2
497,2
7,2
482,2
37,2
34,2
471,2
175,2
17,2
160,2
132,2
347,2
483,2
57,2
444,2
256,3
280,3
221,3
398,3
63,3
376,3
440,3
196,3
